"Table of Contents",2,
"Blue Monk",3,
"Autumn Leaves",4,
"Autumn Leaves - Vocal Version",4,
"Blue Bossa",5,
"Bags' Groove",6,
"Beautiful Love",7,
"Beautiful Love - Vocal Version",8,
"Black Orpheus",9,
"Black Orpheus - Vocal Version",10,
"Sugar",11,
"Centerpiece",12,
"Centerpiece - Vocal Version",13,
"Softly As In A Morning Sunrise",14,
"Song For My Father",15,
"It Don't Mean A Thing",16,
"What Is This Thing Called Love?",17,
"Solar",18,
"St. Thomas",19,
"Blues For Gene",21,
"C Jam Blues",21,
"Now's The Time",22,
"Billie's Bounce",22,
"Straight No Chaser",23,
"Sonnymoon For Two",23,
"Dejection Blues",24,
"Blue Train",24,
"5 Minute Blues Sprint",20,
